"product_name","sentiment","total_reviews"
"Auto Hub Car Cover For Maruti Suzuki WagonR Without Mirror PocketsMulticolor","negative","17"
"Auto Hub Car Cover For Maruti Suzuki WagonR Without Mirror PocketsMulticolor","neutral","7"
"Auto Hub Car Cover For Maruti Suzuki WagonR Without Mirror PocketsMulticolor","positive","43"
"Auto Hub Car Cover For Renault Kwid Without Mirror PocketsMulticolor","negative","3"
"Auto Hub Car Cover For Renault Kwid Without Mirror PocketsMulticolor","positive","7"
"Auto Hub Microfiber Vehicle Washing  ClothPack Of 2 800 GSM","negative","1"
"Auto Hub Microfiber Vehicle Washing  ClothPack Of 2 800 GSM","neutral","5"
"Auto Hub Microfiber Vehicle Washing  ClothPack Of 2 800 GSM","positive","61"
"Auto Hub Microfiber Vehicle Washing  ClothPack Of 3 800 GSM","negative","4"
"Auto Hub Microfiber Vehicle Washing  ClothPack Of 3 800 GSM","neutral","10"
"Auto Hub Microfiber Vehicle Washing  ClothPack Of 3 800 GSM","positive","86"
"Auto Hub Microfiber Vehicle Washing  ClothPack Of 4 800 GSM","negative","3"
"Auto Hub Microfiber Vehicle Washing  ClothPack Of 4 800 GSM","positive","47"
"Auto Hub Two Wheeler Cover for HondaActiva 3G Black","negative","21"
"Auto Hub Two Wheeler Cover for HondaActiva 3G Black","neutral","7"
"Auto Hub Two Wheeler Cover for HondaActiva 3G Black","positive","58"
"Auto Hub Two Wheeler Cover for TVSJupiter Black","negative","5"
"Auto Hub Two Wheeler Cover for TVSJupiter Black","positive","5"
"Auto Hub Waterproof Two Wheeler Cover for HeroGlamour Red","negative","8"
"Auto Hub Waterproof Two Wheeler Cover for HeroGlamour Red","neutral","10"
"Auto Hub Waterproof Two Wheeler Cover for HeroGlamour Red","positive","23"
"AutoKraftZ Most Popular Sun UV Protection Arm Sleeves for Men Women Cycling GlovesÐÓ®ÐÂ ÐÓ®ÐÂ (Black)","negative","38"
"AutoKraftZ Most Popular Sun UV Protection Arm Sleeves for Men Women Cycling GlovesÐÓ®ÐÂ ÐÓ®ÐÂ (Black)","neutral","16"
"AutoKraftZ Most Popular Sun UV Protection Arm Sleeves for Men Women Cycling GlovesÐÓ®ÐÂ ÐÓ®ÐÂ (Black)","positive","253"
"AutoPowerz Car Dash Strobe Flash Warning Light Police Car Styling Lamp Car Fancy LightsRed Blue","negative","2"
"AutoPowerz Car Dash Strobe Flash Warning Light Police Car Styling Lamp Car Fancy LightsRed Blue","positive","8"
"AutoPowerz Car Interior Ambient Star Lights Multicolor with Music Control Star Atmosphere Light Car Fancy Lights Multicolor Car Fancy LightsMulticolor","negative","3"
"AutoPowerz Car Interior Ambient Star Lights Multicolor with Music Control Star Atmosphere Light Car Fancy Lights Multicolor Car Fancy LightsMulticolor","positive","7"
"AutoPowerz LED Daytime Running Light for Universal For Bike","negative","3"
"AutoPowerz LED Daytime Running Light for Universal For Bike","neutral","1"
"AutoPowerz LED Daytime Running Light for Universal For Bike","positive","8"
"AutoPowerz Led Strip Trunk  Dicky  Boot  Tail Lights Streamer Brake Turn Signal Light Car Fancy LightsMulticolor","negative","6"
"AutoPowerz Led Strip Trunk  Dicky  Boot  Tail Lights Streamer Brake Turn Signal Light Car Fancy LightsMulticolor","positive","4"
"AutoPowerz Set of 4 9 LED RGB MultiColour Strip Car Atmosphere Light with Music Controller and Remote for All Cars Car Fancy LightsMulticolor","negative","13"
"AutoPowerz Set of 4 9 LED RGB MultiColour Strip Car Atmosphere Light with Music Controller and Remote for All Cars Car Fancy LightsMulticolor","neutral","3"
"AutoPowerz Set of 4 9 LED RGB MultiColour Strip Car Atmosphere Light with Music Controller and Remote for All Cars Car Fancy LightsMulticolor","positive","84"
